,IVs,IV_count,rsquared,adj_rsquared
15659,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8299538530343122,0.828523692000118
16219,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.830030906113076,0.8284571182067155
16216,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8300010024397141,0.8284269376474892
15945,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.82997451914176,0.8284002091338134
16211,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8299576012487744,0.8283831345936704
16361,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8300759218938621,0.8283580710621236
16360,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8300331448655938,0.8283148615786411
16297,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8300314973310776,0.8283131973883421
16294,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",12,0.8300208910424614,0.8283024838752411
14724,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8295813460444785,0.8282924654683443
16357,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",12,0.8300036365998364,0.8282850549984868
16289,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",12,0.8299775865120438,0.8282587415568159
15867,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",10,0.8296570023140473,0.8282243446379669
16381,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",13,0.8300773513257979,0.8282147927821515
16374,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",13,0.8300764602938265,0.8282138919833879
15657,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",10,0.8296445008965866,0.8282117380782231
15943,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.8297611984459534,0.8281849132463789
15864,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8296162142437047,0.8281832135224574
15439,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8296096679247822,0.8281766121461849
16373,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",13,0.8300336889963207,0.82817065186053
16370,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",13,0.830022976156249,0.8281598215947239
15859,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8295848835090577,0.8281516192828933
16271,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.829690035916708,0.8281130918048256
16214,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.829689494345749,0.8281125452193208
16292,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",12,0.8298068199601902,0.8280862486371257
16153,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8296598119556678,0.8280825879922944
16270,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8296590900224592,0.828081859374519
16382,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",14,0.8300778540955082,0.828070335072164
16209,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.8296457657794434,0.8280684117588827
16150,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8296438766594918,0.8280665051470797
16287,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",12,0.8297632387387021,0.828042226830416
16267,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.829618810726177,0.8280412071217897
16145,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.829612440564845,0.8280347779774824
14722,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",9,0.8292855056021691,0.8279943875773115
16349,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8296927897575814,0.827971065643926
16367,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.829691445048576,0.8279697073405582
16355,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",12,0.8296901729159483,0.8279684223472805
15437,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",10,0.8293824309735673,0.8279474640347412
16368,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",13,0.829808088668326,0.8279425786790244
16348,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8296618007578721,0.8279397633603106
16345,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",12,0.829645837477784,0.8279236386991263
15862,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",10,0.8293187393761251,0.8278832367636451
15857,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",10,0.8292866752669015,0.8278509029815095
16148,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.8294158745197793,0.8278363918764439
16380,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",13,0.8296941189359825,0.8278273597000363
16143,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.8293842720431139,0.8278044967842539
16265,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.8293194161751457,0.8277390403989896
14223,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft']",9,0.828994233907,0.8277009129869689
16343,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",12,0.8294170794272758,0.8276925680145777
14938,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft']",10,0.8290779309506686,0.82764040303604
15648,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",10,0.8290471838945292,0.8276093973839702
15638,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft']",10,0.8289998212267375,0.827561636375827
15934,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",11,0.8291316490490738,0.8275495346884171
12441,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft']",8,0.8286541541647513,0.8275032164933138
15924,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft']",11,0.8290849503705796,0.8275024036147516
16200,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",11,0.829051309284055,0.8274684510366852
13728,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft']",9,0.828722119261486,0.8274267403315309
16278,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",12,0.8291370118727329,0.8274096691115473
14713,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",9,0.8286944736826076,0.8273988856684424
14703,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft']",9,0.8286594618698324,0.8273636090604446
15428,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",10,0.8287627864061423,0.8273226079907188
15418,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft']",10,0.8287286715165543,0.8272882061802763
15848,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",10,0.8286985265545146,0.8272578076861757
16134,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft']",11,0.8287679328617035,0.8271824507585711
14299,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8273276205942665,0.8260216950357357
